Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\H.CLI.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,H.CLI\H.CLI.csproj,File,H.CLI\H.CLI.csproj,,,System.Runtime.CompilerServices.Unsafe 6.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 6.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\H.CLI.csproj,,,System.Threading.Tasks.Extensions 4.5.4,,,,,"System.Threading.Tasks.Extensions, 4.5.4  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\H.CLI.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\H.CLI.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,H.CLI\H.CLI.csproj,File,H.CLI\Converters\AnimalConverterBase.cs,79,12,M:System.TimeSpan.FromDays(System.Double),,,,,"var managementPeriod = new ManagementPeriod              {                  Name = inputRow.ManagementPeriodName,                  AnimalGroupGuid = animalGroup.Guid,                  AnimalType = animalGroup.GroupType,                  Start = inputRow.ManagementPeriodStartDate,                  NumberOfDays = inputRow.ManagementPeriodDays,                  Duration = TimeSpan.FromDays(inputRow.ManagementPeriodDays),                  NumberOfAnimals = inputRow.NumberOfAnimals,                  NumberOfYoungAnimals = inputRow.NumberOfYoungAnimals,                  StartWeight = inputRow.StartWeight,                  AnimalsAreMilkFedOnly = inputRow.AnimalsAreMilkFedOnly,                  EndWeight = inputRow.EndWeight,                  PeriodDailyGain = inputRow.AverageDailyGain,                  DietAdditive = inputRow.DietAdditiveType,                  WoolProduction = inputRow.WoolProduction,                  EnergyRequiredForWool = inputRow.EnergyRequiredToProduceWool,                  EnergyRequiredForMilk = inputRow.EnergyRequiredToProduceMilk,                  GainCoefficient = inputRow.GainCoefficient,                  GainCoefficientA = inputRow.GainCoefficientA,                  GainCoefficientB = inputRow.GainCoefficientB,                  MilkProduction = inputRow.MilkProduction,                  MilkFatContent = inputRow.MilkFatContent,                  MilkProteinContentAsPercentage = inputRow.MilkProteinContentAsPercentage,                  ProductionStage = inputRow.ProductionStage,              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\Program.cs,258,16,T:System.Deployment.Application.ApplicationDeployment,,,,,return System.Deployment.Application.ApplicationDeployment.CurrentDeployment.CurrentVersion.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\Program.cs,258,16,T:System.Deployment.Application.ApplicationDeployment,,,,,return System.Deployment.Application.ApplicationDeployment.CurrentDeployment.CurrentVersion.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\Program.cs,258,16,P:System.Deployment.Application.ApplicationDeployment.CurrentDeployment,,,,,return System.Deployment.Application.ApplicationDeployment.CurrentDeployment.CurrentVersion.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,H.CLI\H.CLI.csproj,File,H.CLI\Program.cs,258,16,P:System.Deployment.Application.ApplicationDeployment.CurrentVersion,,,,,return System.Deployment.Application.ApplicationDeployment.CurrentDeployment.CurrentVersion.ToString();
